Question,Option A,Option B,Option C,Option D,Answer
26. What is the function of a promoter region?,Splice mRNA,Code for a protein,To initiate transcription,Terminate transcription,To initiate transcription
27. What is the role of mRNA?,Transfer amino acids to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes,Store genetic information,Carry genetic instructions from DNA to ribosomes
28. Which molecule carries genetic information in most organisms?,DNA,Protein,RNA,Lipid,DNA
29. What is a genotype?,Inheritance patterns,The genetic makeup of an organism,The observable characteristics,The process of protein synthesis,The genetic makeup of an organism
30. What is a mutation not affecting amino acid sequences?,Silent mutation,Missense mutation,Nonsense mutation,Frameshift mutation,Silent mutation
31. What is a genotype?,The genetic makeup of an organism,The observable characteristics,The process of protein synthesis,Inheritance patterns,The genetic makeup of an organism
32. What is the term for different forms of a gene?,Chromatids,Codons,Alleles,Nucleotides,Alleles
33. What is the role of mRNA?,Synthesize proteins,Carry genetic instructions from DNA to ribosomes,Store genetic information,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes
34. What is a genotype?,The process of protein synthesis,The genetic makeup of an organism,Inheritance patterns,The observable characteristics,The genetic makeup of an organism
35. Who is known as the father of genetics?,Francis Crick,Gregor Mendel,Charles Darwin,James Watson,Gregor Mendel
36. What is the function of a promoter region?,Splice mRNA,To initiate transcription,Code for a protein,Terminate transcription,To initiate transcription
37. What is the term for different forms of a gene?,Codons,Alleles,Chromatids,Nucleotides,Alleles
38. What is a genotype?,The observable characteristics,Inheritance patterns,The process of protein synthesis,The genetic makeup of an organism,The genetic makeup of an organism
39. What is a genotype?,The genetic makeup of an organism,The observable characteristics,The process of protein synthesis,Inheritance patterns,The genetic makeup of an organism
40. Who is known as the father of genetics?,Gregor Mendel,Francis Crick,Charles Darwin,James Watson,Gregor Mendel
41. Which molecule carries genetic information in most organisms?,Protein,DNA,Lipid,RNA,DNA
42. Which is a recessive genetic disorder?,Down syndrome,Cystic fibrosis,Sickle cell anemia,Huntington's disease,Cystic fibrosis
43. Which is a recessive genetic disorder?,Down syndrome,Cystic fibrosis,Huntington's disease,Sickle cell anemia,Cystic fibrosis
44. Who is known as the father of genetics?,Charles Darwin,James Watson,Gregor Mendel,Francis Crick,Gregor Mendel
45. What is the basic unit of heredity?,Protein,Gene,Chromosome,Ribosome,Gene
46. What is the basic unit of heredity?,Gene,Chromosome,Protein,Ribosome,Gene
47. Which enzyme unwinds the DNA helix during replication?,Helicase,Ligase,DNA polymerase,RNA polymerase,Helicase
48. What is the basic unit of heredity?,Chromosome,Ribosome,Protein,Gene,Gene
49. What is a genotype?,The observable characteristics,Inheritance patterns,The genetic makeup of an organism,The process of protein synthesis,The genetic makeup of an organism
50. What is the role of mRNA?,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Store genetic information,Synthesize proteins,Carry genetic instructions from DNA to ribosomes
51. Which enzyme unwinds the DNA helix during replication?,DNA polymerase,Ligase,Helicase,RNA polymerase,Helicase
52. What is a genotype?,The genetic makeup of an organism,The observable characteristics,The process of protein synthesis,Inheritance patterns,The genetic makeup of an organism
53. Which is a recessive genetic disorder?,Sickle cell anemia,Cystic fibrosis,Huntington's disease,Down syndrome,Cystic fibrosis
54. What is the function of a promoter region?,Splice mRNA,Code for a protein,To initiate transcription,Terminate transcription,To initiate transcription
55. What is a mutation not affecting amino acid sequences?,Frameshift mutation,Nonsense mutation,Missense mutation,Silent mutation,Silent mutation
56. Which molecule carries genetic information in most organisms?,RNA,Protein,Lipid,DNA,DNA
57. Which molecule carries genetic information in most organisms?,RNA,Protein,DNA,Lipid,DNA
58. What is a genotype?,The genetic makeup of an organism,Inheritance patterns,The observable characteristics,The process of protein synthesis,The genetic makeup of an organism
59. What is the function of a promoter region?,Code for a protein,Splice mRNA,Terminate transcription,To initiate transcription,To initiate transcription
60. What is a genotype?,The process of protein synthesis,The genetic makeup of an organism,The observable characteristics,Inheritance patterns,The genetic makeup of an organism
61. What is the role of mRNA?,Synthesize proteins,Store genetic information,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
62. Which enzyme unwinds the DNA helix during replication?,Ligase,RNA polymerase,DNA polymerase,Helicase,Helicase
63. What is the function of a promoter region?,Splice mRNA,Code for a protein,To initiate transcription,Terminate transcription,To initiate transcription
64. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Store genetic information,Transfer amino acids to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes
65. Which molecule carries genetic information in most organisms?,Protein,Lipid,RNA,DNA,DNA
66. What is the basic unit of heredity?,Protein,Ribosome,Gene,Chromosome,Gene
67. Who is known as the father of genetics?,Francis Crick,Gregor Mendel,Charles Darwin,James Watson,Gregor Mendel
68. What is the term for different forms of a gene?,Nucleotides,Codons,Alleles,Chromatids,Alleles
69. Which enzyme unwinds the DNA helix during replication?,DNA polymerase,Helicase,Ligase,RNA polymerase,Helicase
70. What is a genotype?,Inheritance patterns,The observable characteristics,The genetic makeup of an organism,The process of protein synthesis,The genetic makeup of an organism
71. What is the basic unit of heredity?,Protein,Ribosome,Gene,Chromosome,Gene
72. Which enzyme unwinds the DNA helix during replication?,DNA polymerase,Helicase,RNA polymerase,Ligase,Helicase
73. What is the basic unit of heredity?,Protein,Ribosome,Gene,Chromosome,Gene
74. Who is known as the father of genetics?,Charles Darwin,Francis Crick,Gregor Mendel,James Watson,Gregor Mendel
75. What is the role of mRNA?,Store genetic information,Synthesize proteins,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
76. Which enzyme unwinds the DNA helix during replication?,Ligase,DNA polymerase,RNA polymerase,Helicase,Helicase
77. What is the role of mRNA?,Store genetic information,Synthesize proteins,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
78. What is the function of a promoter region?,To initiate transcription,Terminate transcription,Splice mRNA,Code for a protein,To initiate transcription
79. What is a genotype?,The genetic makeup of an organism,The observable characteristics,Inheritance patterns,The process of protein synthesis,The genetic makeup of an organism
80. What is the function of a promoter region?,Splice mRNA,Code for a protein,To initiate transcription,Terminate transcription,To initiate transcription
81. What is a mutation not affecting amino acid sequences?,Missense mutation,Nonsense mutation,Silent mutation,Frameshift mutation,Silent mutation
82. What is the role of mRNA?,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Synthesize proteins,Store genetic information,Carry genetic instructions from DNA to ribosomes
83. What is a mutation not affecting amino acid sequences?,Nonsense mutation,Silent mutation,Missense mutation,Frameshift mutation,Silent mutation
84. Which enzyme unwinds the DNA helix during replication?,Helicase,DNA polymerase,Ligase,RNA polymerase,Helicase
85. Who is known as the father of genetics?,James Watson,Gregor Mendel,Francis Crick,Charles Darwin,Gregor Mendel
86. What is the function of a promoter region?,To initiate transcription,Splice mRNA,Terminate transcription,Code for a protein,To initiate transcription
87. What is the basic unit of heredity?,Gene,Protein,Chromosome,Ribosome,Gene
88. What is the term for different forms of a gene?,Chromatids,Codons,Alleles,Nucleotides,Alleles
89. What is the term for different forms of a gene?,Chromatids,Codons,Alleles,Nucleotides,Alleles
90. Which enzyme unwinds the DNA helix during replication?,Ligase,DNA polymerase,Helicase,RNA polymerase,Helicase
91. What is the basic unit of heredity?,Chromosome,Protein,Gene,Ribosome,Gene
92. Which enzyme unwinds the DNA helix during replication?,Ligase,DNA polymerase,Helicase,RNA polymerase,Helicase
93. What is the role of mRNA?,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Synthesize proteins,Store genetic information,Carry genetic instructions from DNA to ribosomes
94. What is the basic unit of heredity?,Gene,Chromosome,Protein,Ribosome,Gene
95. What is a mutation not affecting amino acid sequences?,Missense mutation,Nonsense mutation,Silent mutation,Frameshift mutation,Silent mutation
96. What is the term for different forms of a gene?,Chromatids,Nucleotides,Codons,Alleles,Alleles
97. Which molecule carries genetic information in most organisms?,DNA,RNA,Lipid,Protein,DNA
98. What is a mutation not affecting amino acid sequences?,Missense mutation,Nonsense mutation,Silent mutation,Frameshift mutation,Silent mutation
99. What is the basic unit of heredity?,Ribosome,Protein,Chromosome,Gene,Gene
100. Which molecule carries genetic information in most organisms?,Lipid,DNA,Protein,RNA,DNA
101. Which molecule carries genetic information in most organisms?,Protein,RNA,DNA,Lipid,DNA
102. Which molecule carries genetic information in most organisms?,RNA,DNA,Lipid,Protein,DNA
103. What is the term for different forms of a gene?,Chromatids,Nucleotides,Alleles,Codons,Alleles
104. Who is known as the father of genetics?,Francis Crick,James Watson,Gregor Mendel,Charles Darwin,Gregor Mendel
105. What is the role of mRNA?,Synthesize proteins,Store genetic information,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
106. What is the role of mRNA?,Synthesize proteins,Store genetic information,Carry genetic instructions from DNA to ribosomes,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes
107. Which enzyme unwinds the DNA helix during replication?,RNA polymerase,Ligase,DNA polymerase,Helicase,Helicase
108. Which enzyme unwinds the DNA helix during replication?,RNA polymerase,DNA polymerase,Ligase,Helicase,Helicase
109. Who is known as the father of genetics?,Francis Crick,Gregor Mendel,Charles Darwin,James Watson,Gregor Mendel
110. What is a mutation not affecting amino acid sequences?,Silent mutation,Missense mutation,Frameshift mutation,Nonsense mutation,Silent mutation
111. What is the function of a promoter region?,Terminate transcription,Splice mRNA,Code for a protein,To initiate transcription,To initiate transcription
112. What is the basic unit of heredity?,Protein,Chromosome,Ribosome,Gene,Gene
113. What is a mutation not affecting amino acid sequences?,Silent mutation,Frameshift mutation,Missense mutation,Nonsense mutation,Silent mutation
114. What is the function of a promoter region?,Code for a protein,Terminate transcription,To initiate transcription,Splice mRNA,To initiate transcription
115. What is a genotype?,Inheritance patterns,The genetic makeup of an organism,The process of protein synthesis,The observable characteristics,The genetic makeup of an organism
116. Which molecule carries genetic information in most organisms?,DNA,Protein,RNA,Lipid,DNA
117. What is a mutation not affecting amino acid sequences?,Missense mutation,Frameshift mutation,Silent mutation,Nonsense mutation,Silent mutation
118. What is a mutation not affecting amino acid sequences?,Frameshift mutation,Silent mutation,Missense mutation,Nonsense mutation,Silent mutation
119. Which enzyme unwinds the DNA helix during replication?,Ligase,DNA polymerase,RNA polymerase,Helicase,Helicase
120. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Synthesize proteins,Store genetic information,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes
121. What is the function of a promoter region?,Code for a protein,To initiate transcription,Terminate transcription,Splice mRNA,To initiate transcription
122. Who is known as the father of genetics?,Gregor Mendel,James Watson,Charles Darwin,Francis Crick,Gregor Mendel
123. Which molecule carries genetic information in most organisms?,DNA,RNA,Protein,Lipid,DNA
124. What is the basic unit of heredity?,Protein,Gene,Chromosome,Ribosome,Gene
125. Who is known as the father of genetics?,Gregor Mendel,Charles Darwin,James Watson,Francis Crick,Gregor Mendel
126. What is the role of mRNA?,Transfer amino acids to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes,Store genetic information,Carry genetic instructions from DNA to ribosomes
127. Who is known as the father of genetics?,Gregor Mendel,Francis Crick,James Watson,Charles Darwin,Gregor Mendel
128. What is a genotype?,The observable characteristics,The process of protein synthesis,The genetic makeup of an organism,Inheritance patterns,The genetic makeup of an organism
129. Which molecule carries genetic information in most organisms?,DNA,RNA,Protein,Lipid,DNA
130. Who is known as the father of genetics?,James Watson,Gregor Mendel,Charles Darwin,Francis Crick,Gregor Mendel
131. Which molecule carries genetic information in most organisms?,DNA,Lipid,RNA,Protein,DNA
132. Which enzyme unwinds the DNA helix during replication?,RNA polymerase,Helicase,DNA polymerase,Ligase,Helicase
133. Which enzyme unwinds the DNA helix during replication?,Helicase,DNA polymerase,Ligase,RNA polymerase,Helicase
134. What is the term for different forms of a gene?,Alleles,Chromatids,Codons,Nucleotides,Alleles
135. Which enzyme unwinds the DNA helix during replication?,Ligase,RNA polymerase,Helicase,DNA polymerase,Helicase
136. Which is a recessive genetic disorder?,Sickle cell anemia,Huntington's disease,Down syndrome,Cystic fibrosis,Cystic fibrosis
137. What is the term for different forms of a gene?,Codons,Alleles,Chromatids,Nucleotides,Alleles
138. What is a genotype?,Inheritance patterns,The process of protein synthesis,The observable characteristics,The genetic makeup of an organism,The genetic makeup of an organism
139. Who is known as the father of genetics?,Charles Darwin,Gregor Mendel,Francis Crick,James Watson,Gregor Mendel
140. What is the function of a promoter region?,Splice mRNA,Terminate transcription,Code for a protein,To initiate transcription,To initiate transcription
141. Which enzyme unwinds the DNA helix during replication?,Helicase,DNA polymerase,Ligase,RNA polymerase,Helicase
142. What is the role of mRNA?,Transfer amino acids to ribosomes,Synthesize proteins,Store genetic information,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
143. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Synthesize proteins,Transfer amino acids to ribosomes,Store genetic information,Carry genetic instructions from DNA to ribosomes
144. Who is known as the father of genetics?,Charles Darwin,Gregor Mendel,James Watson,Francis Crick,Gregor Mendel
145. Which enzyme unwinds the DNA helix during replication?,Helicase,DNA polymerase,Ligase,RNA polymerase,Helicase
146. Which enzyme unwinds the DNA helix during replication?,DNA polymerase,Ligase,Helicase,RNA polymerase,Helicase
147. Who is known as the father of genetics?,Francis Crick,Charles Darwin,Gregor Mendel,James Watson,Gregor Mendel
148. What is the term for different forms of a gene?,Alleles,Chromatids,Nucleotides,Codons,Alleles
149. What is the function of a promoter region?,Terminate transcription,Code for a protein,To initiate transcription,Splice mRNA,To initiate transcription
150. Which molecule carries genetic information in most organisms?,RNA,DNA,Protein,Lipid,DNA
151. What is the term for different forms of a gene?,Chromatids,Alleles,Codons,Nucleotides,Alleles
152. What is a mutation not affecting amino acid sequences?,Nonsense mutation,Missense mutation,Silent mutation,Frameshift mutation,Silent mutation
153. What is a mutation not affecting amino acid sequences?,Silent mutation,Missense mutation,Nonsense mutation,Frameshift mutation,Silent mutation
154. Which molecule carries genetic information in most organisms?,DNA,Lipid,Protein,RNA,DNA
155. What is a mutation not affecting amino acid sequences?,Silent mutation,Frameshift mutation,Nonsense mutation,Missense mutation,Silent mutation
156. What is the term for different forms of a gene?,Chromatids,Alleles,Codons,Nucleotides,Alleles
157. Which molecule carries genetic information in most organisms?,RNA,DNA,Lipid,Protein,DNA
158. What is the function of a promoter region?,Code for a protein,Terminate transcription,To initiate transcription,Splice mRNA,To initiate transcription
159. Which is a recessive genetic disorder?,Sickle cell anemia,Down syndrome,Huntington's disease,Cystic fibrosis,Cystic fibrosis
160. What is a mutation not affecting amino acid sequences?,Missense mutation,Frameshift mutation,Nonsense mutation,Silent mutation,Silent mutation
161. Which molecule carries genetic information in most organisms?,RNA,Protein,Lipid,DNA,DNA
162. What is the role of mRNA?,Synthesize proteins,Store genetic information,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
163. What is the function of a promoter region?,Terminate transcription,To initiate transcription,Code for a protein,Splice mRNA,To initiate transcription
164. What is the function of a promoter region?,Terminate transcription,Code for a protein,To initiate transcription,Splice mRNA,To initiate transcription
165. What is the basic unit of heredity?,Chromosome,Gene,Ribosome,Protein,Gene
166. Which enzyme unwinds the DNA helix during replication?,Ligase,Helicase,DNA polymerase,RNA polymerase,Helicase
167. What is the role of mRNA?,Store genetic information,Synthesize proteins,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
168. Which molecule carries genetic information in most organisms?,RNA,Protein,DNA,Lipid,DNA
169. What is the role of mRNA?,Synthesize proteins,Store genetic information,Carry genetic instructions from DNA to ribosomes,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes
170. What is a mutation not affecting amino acid sequences?,Missense mutation,Silent mutation,Nonsense mutation,Frameshift mutation,Silent mutation
171. Which enzyme unwinds the DNA helix during replication?,Helicase,Ligase,DNA polymerase,RNA polymerase,Helicase
172. Which is a recessive genetic disorder?,Sickle cell anemia,Down syndrome,Cystic fibrosis,Huntington's disease,Cystic fibrosis
173. What is the function of a promoter region?,Splice mRNA,Terminate transcription,Code for a protein,To initiate transcription,To initiate transcription
174. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Store genetic information,Transfer amino acids to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes
175. Who is known as the father of genetics?,Charles Darwin,Gregor Mendel,James Watson,Francis Crick,Gregor Mendel
176. What is a genotype?,The process of protein synthesis,The observable characteristics,Inheritance patterns,The genetic makeup of an organism,The genetic makeup of an organism
177. Who is known as the father of genetics?,Gregor Mendel,Francis Crick,Charles Darwin,James Watson,Gregor Mendel
178. What is a genotype?,The observable characteristics,Inheritance patterns,The genetic makeup of an organism,The process of protein synthesis,The genetic makeup of an organism
179. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Synthesize proteins,Store genetic information,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes
180. What is the function of a promoter region?,Splice mRNA,Code for a protein,To initiate transcription,Terminate transcription,To initiate transcription
181. What is the basic unit of heredity?,Gene,Ribosome,Protein,Chromosome,Gene
182. What is the function of a promoter region?,Code for a protein,Terminate transcription,To initiate transcription,Splice mRNA,To initiate transcription
183. What is a mutation not affecting amino acid sequences?,Silent mutation,Nonsense mutation,Frameshift mutation,Missense mutation,Silent mutation
184. Which molecule carries genetic information in most organisms?,RNA,Lipid,DNA,Protein,DNA
185. What is a genotype?,The process of protein synthesis,Inheritance patterns,The observable characteristics,The genetic makeup of an organism,The genetic makeup of an organism
186. What is a genotype?,The process of protein synthesis,The observable characteristics,The genetic makeup of an organism,Inheritance patterns,The genetic makeup of an organism
187. What is the basic unit of heredity?,Gene,Protein,Chromosome,Ribosome,Gene
188. What is the role of mRNA?,Store genetic information,Synthesize proteins,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
189. What is a mutation not affecting amino acid sequences?,Nonsense mutation,Missense mutation,Silent mutation,Frameshift mutation,Silent mutation
190. Which is a recessive genetic disorder?,Cystic fibrosis,Huntington's disease,Sickle cell anemia,Down syndrome,Cystic fibrosis
191. What is a mutation not affecting amino acid sequences?,Missense mutation,Silent mutation,Nonsense mutation,Frameshift mutation,Silent mutation
192. What is the basic unit of heredity?,Chromosome,Protein,Gene,Ribosome,Gene
193. Who is known as the father of genetics?,Gregor Mendel,James Watson,Charles Darwin,Francis Crick,Gregor Mendel
194. What is the function of a promoter region?,Splice mRNA,Terminate transcription,To initiate transcription,Code for a protein,To initiate transcription
195. Which molecule carries genetic information in most organisms?,Protein,RNA,DNA,Lipid,DNA
196. What is the function of a promoter region?,Splice mRNA,To initiate transcription,Code for a protein,Terminate transcription,To initiate transcription
197. What is a mutation not affecting amino acid sequences?,Frameshift mutation,Nonsense mutation,Silent mutation,Missense mutation,Silent mutation
198. Which is a recessive genetic disorder?,Down syndrome,Cystic fibrosis,Huntington's disease,Sickle cell anemia,Cystic fibrosis
199. Which is a recessive genetic disorder?,Huntington's disease,Sickle cell anemia,Cystic fibrosis,Down syndrome,Cystic fibrosis
200. What is the basic unit of heredity?,Chromosome,Ribosome,Protein,Gene,Gene
201. Which molecule carries genetic information in most organisms?,Protein,Lipid,RNA,DNA,DNA
202. What is a genotype?,The genetic makeup of an organism,Inheritance patterns,The process of protein synthesis,The observable characteristics,The genetic makeup of an organism
203. What is the basic unit of heredity?,Chromosome,Protein,Ribosome,Gene,Gene
204. Who is known as the father of genetics?,Gregor Mendel,Charles Darwin,James Watson,Francis Crick,Gregor Mendel
205. Which enzyme unwinds the DNA helix during replication?,RNA polymerase,Helicase,Ligase,DNA polymerase,Helicase
206. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Synthesize proteins,Transfer amino acids to ribosomes,Store genetic information,Carry genetic instructions from DNA to ribosomes
207. What is a genotype?,The genetic makeup of an organism,Inheritance patterns,The observable characteristics,The process of protein synthesis,The genetic makeup of an organism
208. What is the basic unit of heredity?,Gene,Chromosome,Ribosome,Protein,Gene
209. Who is known as the father of genetics?,Charles Darwin,James Watson,Francis Crick,Gregor Mendel,Gregor Mendel
210. What is the function of a promoter region?,Splice mRNA,To initiate transcription,Code for a protein,Terminate transcription,To initiate transcription
211. Which enzyme unwinds the DNA helix during replication?,Helicase,DNA polymerase,RNA polymerase,Ligase,Helicase
212. What is the term for different forms of a gene?,Alleles,Nucleotides,Codons,Chromatids,Alleles
213. Who is known as the father of genetics?,James Watson,Gregor Mendel,Charles Darwin,Francis Crick,Gregor Mendel
214. Which is a recessive genetic disorder?,Cystic fibrosis,Down syndrome,Sickle cell anemia,Huntington's disease,Cystic fibrosis
215. What is a genotype?,Inheritance patterns,The process of protein synthesis,The observable characteristics,The genetic makeup of an organism,The genetic makeup of an organism
216. What is a mutation not affecting amino acid sequences?,Silent mutation,Nonsense mutation,Missense mutation,Frameshift mutation,Silent mutation
217. What is a mutation not affecting amino acid sequences?,Frameshift mutation,Nonsense mutation,Missense mutation,Silent mutation,Silent mutation
218. Which is a recessive genetic disorder?,Cystic fibrosis,Huntington's disease,Down syndrome,Sickle cell anemia,Cystic fibrosis
219. What is the function of a promoter region?,Code for a protein,To initiate transcription,Splice mRNA,Terminate transcription,To initiate transcription
220. What is the basic unit of heredity?,Ribosome,Gene,Protein,Chromosome,Gene
221. Who is known as the father of genetics?,Gregor Mendel,Francis Crick,James Watson,Charles Darwin,Gregor Mendel
222. What is the function of a promoter region?,To initiate transcription,Splice mRNA,Terminate transcription,Code for a protein,To initiate transcription
223. What is a genotype?,Inheritance patterns,The observable characteristics,The genetic makeup of an organism,The process of protein synthesis,The genetic makeup of an organism
224. Who is known as the father of genetics?,Francis Crick,James Watson,Gregor Mendel,Charles Darwin,Gregor Mendel
225. What is a genotype?,The observable characteristics,The process of protein synthesis,The genetic makeup of an organism,Inheritance patterns,The genetic makeup of an organism
226. What is a mutation not affecting amino acid sequences?,Frameshift mutation,Nonsense mutation,Silent mutation,Missense mutation,Silent mutation
227. Which enzyme unwinds the DNA helix during replication?,DNA polymerase,RNA polymerase,Ligase,Helicase,Helicase
228. Which is a recessive genetic disorder?,Sickle cell anemia,Cystic fibrosis,Down syndrome,Huntington's disease,Cystic fibrosis
229. Which molecule carries genetic information in most organisms?,RNA,Lipid,DNA,Protein,DNA
230. What is a genotype?,The observable characteristics,The process of protein synthesis,Inheritance patterns,The genetic makeup of an organism,The genetic makeup of an organism
231. What is the term for different forms of a gene?,Alleles,Nucleotides,Chromatids,Codons,Alleles
232. What is the role of mRNA?,Store genetic information,Synthesize proteins,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
233. What is the basic unit of heredity?,Ribosome,Chromosome,Protein,Gene,Gene
234. What is a genotype?,Inheritance patterns,The process of protein synthesis,The observable characteristics,The genetic makeup of an organism,The genetic makeup of an organism
235. Who is known as the father of genetics?,Charles Darwin,James Watson,Francis Crick,Gregor Mendel,Gregor Mendel
236. Which is a recessive genetic disorder?,Huntington's disease,Down syndrome,Sickle cell anemia,Cystic fibrosis,Cystic fibrosis
237. What is a mutation not affecting amino acid sequences?,Silent mutation,Missense mutation,Frameshift mutation,Nonsense mutation,Silent mutation
238. Which is a recessive genetic disorder?,Down syndrome,Huntington's disease,Cystic fibrosis,Sickle cell anemia,Cystic fibrosis
239. What is the function of a promoter region?,To initiate transcription,Splice mRNA,Terminate transcription,Code for a protein,To initiate transcription
240. What is a genotype?,The observable characteristics,The genetic makeup of an organism,The process of protein synthesis,Inheritance patterns,The genetic makeup of an organism
241. What is the function of a promoter region?,Terminate transcription,To initiate transcription,Code for a protein,Splice mRNA,To initiate transcription
242. Which enzyme unwinds the DNA helix during replication?,Ligase,RNA polymerase,DNA polymerase,Helicase,Helicase
243. What is a mutation not affecting amino acid sequences?,Nonsense mutation,Frameshift mutation,Missense mutation,Silent mutation,Silent mutation
244. What is a genotype?,Inheritance patterns,The process of protein synthesis,The observable characteristics,The genetic makeup of an organism,The genetic makeup of an organism
245. What is a genotype?,The process of protein synthesis,The genetic makeup of an organism,The observable characteristics,Inheritance patterns,The genetic makeup of an organism
246. What is the function of a promoter region?,Code for a protein,Splice mRNA,To initiate transcription,Terminate transcription,To initiate transcription
247. What is the function of a promoter region?,Splice mRNA,Code for a protein,To initiate transcription,Terminate transcription,To initiate transcription
248. What is the function of a promoter region?,Splice mRNA,Code for a protein,To initiate transcription,Terminate transcription,To initiate transcription
249. Which enzyme unwinds the DNA helix during replication?,Ligase,DNA polymerase,RNA polymerase,Helicase,Helicase
250. Which is a recessive genetic disorder?,Sickle cell anemia,Down syndrome,Huntington's disease,Cystic fibrosis,Cystic fibrosis
251. Which is a recessive genetic disorder?,Huntington's disease,Cystic fibrosis,Down syndrome,Sickle cell anemia,Cystic fibrosis
252. What is a mutation not affecting amino acid sequences?,Missense mutation,Nonsense mutation,Silent mutation,Frameshift mutation,Silent mutation
